race,party,candidate,votes,proportion
Kansas Senate 009,R,Julia Lynn,4091,1
Kansas Senate 010,D,Mark J. Greene,1364,1
Kansas Senate 010,R,Mary Pilcher-Cook,4514,0.642
Kansas Senate 010,R,Tom Wertz,2509,0.357
Kansas Senate 011,D,Michael F. Delaney,1005,1
Kansas Senate 011,R,Pat Colloton,3748,0.406
Kansas Senate 011,R,Jeff Melcher,5479,0.593
Kansas Senate 012,D,Denise Cassells,2258,1
Kansas Senate 012,R,John C. Coen,4864,0.438
Kansas Senate 012,R,Caryn Tyson,6226,0.561
Kansas Senate 013,D,Gene Garman,3617,1
Kansas Senate 013,R,Jacob LaTurner,3857,0.572
Kansas Senate 013,R,Bob Marshall,2879,0.427
Kansas Senate 014,D,Eden Fuson,1424,1
Kansas Senate 014,R,John C. Grange,5254,0.414
Kansas Senate 014,R,Forrest J. Knox,7416,0.585
Kansas Senate 015,R,Jeff King,5668,0.572
Kansas Senate 015,R,Dwayne Umbarger,4224,0.427
Kansas Senate 016,R,Ty Masterson,5416,1
Kansas Senate 017,D,Susan K. Moran,1942,1
Kansas Senate 017,R,James P. Fawcett,2619,0.404
Kansas Senate 017,R,Jeff Longbine,3858,0.595
Kansas Senate 018,D,Laura Kelly,3336,1
Kansas Senate 018,R,Dick Barta,5093,0.759
Kansas Senate 018,R,Cristina L. Fischer,855,0.127
Kansas Senate 018,R,Gary L. Parnell,756,0.112
Kansas Senate 019,D,Anthony Hensley,3314,1
Kansas Senate 019,R,Casey W. Moore,4238,0.812
Kansas Senate 019,R,Matthew F. Windheuser,978,0.187
Kansas Senate 020,D,Terry L. Crowder,3052,1
Kansas Senate 020,R,Joe Patton,5587,0.492
Kansas Senate 020,R,Vicki L. Schmidt,5747,0.507
Kansas Senate 021,D,Juanita Roy,1209,1
Kansas Senate 021,R,Joe Beveridge,3290,0.478
Kansas Senate 021,R,Greg A. Smith,3581,0.521
Kansas Senate 022,D,Tom Hawk,1559,1
Kansas Senate 022,R,Joe Knopp,2134,0.277
Kansas Senate 022,R,Bob Reader,3318,0.43
Kansas Senate 022,R,Roger P. Reitz,2251,0.292
Kansas Senate 023,D,Steve Wright,742,1
Kansas Senate 023,R,Rob Olson,3523,1
Kansas Senate 024,D,Janice Norlin,1378,1
Kansas Senate 024,R,Tom Arpke,5413,0.554
Kansas Senate 024,R,Pete Brungardt,4354,0.445
Kansas Senate 025,D,Perry Schuckman,874,0.477
Kansas Senate 025,D,Timothy L. Snow,957,0.522
Kansas Senate 025,R,Michael O'Donnell,2785,0.588
Kansas Senate 025,R,Jean Kurtis Schodorf,1949,0.411
Kansas Senate 026,R,Dick Kelsey,2883,0.424
Kansas Senate 026,R,Dan Kerschen,3911,0.575
Kansas Senate 027,D,Diana Cubbage,1044,1
Kansas Senate 027,R,"Leslie D. ""Les"" Donovan Sr.",7455,1
Kansas Senate 028,D,Keith Humphrey,980,1
Kansas Senate 028,R,Mike Petersen,2632,1
Kansas Senate 029,D,Oletha Faust-Goudeau,2103,0.784
Kansas Senate 029,D,KC Ohaebosim,579,0.215
Kansas Senate 029,R,Kenya Cox,1643,1
Kansas Senate 030,D,Patrick K. Cantwell,1260,1
Kansas Senate 030,R,Susan Wagle,5550,1
Kansas Senate 031,R,Gary Mason,3893,0.449
Kansas Senate 031,R,Carolyn McGinn,4770,0.55
Kansas Senate 032,R,Steve E Abrams,4886,0.524
Kansas Senate 032,R,Miranda Allen,4425,0.475
Kansas Senate 033,R,Mitch Holmes,7635,0.53
Kansas Senate 033,R,Ruth Teichman,6762,0.469
Kansas Senate 034,D,Mark R. Treaster,1839,1
Kansas Senate 034,R,Terry Bruce,5522,1
Kansas Senate 035,R,Jesse Bryant,2346,0.267
Kansas Senate 035,R,Jay Scott Emler,6435,0.732
Kansas Senate 036,D,Marquis Clark,1515,1
Kansas Senate 036,R,Kyle Abbott,5216,0.357
Kansas Senate 036,R,Elaine S. Bowers,9377,0.642
Kansas Senate 037,R,Pat Apple,4751,0.645
Kansas Senate 037,R,Daniel B. Campbell,441,0.059
Kansas Senate 037,R,Charlotte O'Hara,2165,0.294
Kansas Senate 038,D,Johnny Dunlap II,592,1
Kansas Senate 038,R,Garrett Love,5015,1
Kansas Senate 039,R,Stephen R. Morris,4737,0.481
Kansas Senate 039,R,Larry R. Powell,5106,0.518
Kansas Senate 040,D,Allen Clark Schmidt,1623,1
Kansas Senate 040,R,John E. Miller,4078,0.355
Kansas Senate 040,R,Ralph Ostmeyer,7396,0.644
United States House of Representatives 001,R,Tim Huelskamp,79633,1
United States House of Representatives 002,D,Scott Barnhart,7627,0.256
United States House of Representatives 002,D,Robert V. Eye,10353,0.348
United States House of Representatives 002,D,Tobias Schlingensiepen,11747,0.395
United States House of Representatives 002,R,Lynn Jenkins,64008,1
United States House of Representatives 003,R,Kevin Yoder,50270,1
United States House of Representatives 004,D,Esau A. Freeman,4618,0.291
United States House of Representatives 004,D,Robert Leon Tillman,11224,0.708
United States House of Representatives 004,R,Mike Pompeo,60195,1
