"county","Variable","col","Value"
"Cowley","Citizen","Born Abroad",0.00504448571190998
"Crawford","Citizen","Born Abroad",0.00447791573376756
"Decatur","Citizen","Born Abroad",0.00240963855421687
"Dickinson","Citizen","Born Abroad",0.0138860422217668
"Doniphan","Citizen","Born Abroad",0.000254485303473724
"Douglas","Citizen","Born Abroad",0.00771525742169492
"Edwards","Citizen","Born Abroad",0.00267469073888332
"Elk","Citizen","Born Abroad",0.0104360790160268
"Ellis","Citizen","Born Abroad",0.00551857344876349
"Ellsworth","Citizen","Born Abroad",0.00795631825273011
"Finney","Citizen","Born Abroad",0.00605930035278593
"Ford","Citizen","Born Abroad",0.00296710260989802
"Franklin","Citizen","Born Abroad",0.00481497301285287
"Geary","Citizen","Born Abroad",0.0344686981814228
"Gove","Citizen","Born Abroad",0.00402193784277879
"Graham","Citizen","Born Abroad",0
"Grant","Citizen","Born Abroad",0.00243091095189355
"Gray","Citizen","Born Abroad",0.0089035449299258
"Greeley","Citizen","Born Abroad",0.00571895424836601
"Greenwood","Citizen","Born Abroad",0.00437979039574535
"Hamilton","Citizen","Born Abroad",0.00773395204949729
"Harper","Citizen","Born Abroad",0.00221805152704317
"Harvey","Citizen","Born Abroad",0.0074063441940577
"Haskell","Citizen","Born Abroad",0.00460048426150121
"Hodgeman","Citizen","Born Abroad",0.00515729757607014
"Jackson","Citizen","Born Abroad",0.00977611940298507
"Jefferson","Citizen","Born Abroad",0.00391575828129961
"Jewell","Citizen","Born Abroad",0.00263331138907176
"Johnson","Citizen","Born Abroad",0.00753333545042995
"Kearny","Citizen","Born Abroad",0.0182186234817814
"Kingman","Citizen","Born Abroad",0.00218228498074454
"Kiowa","Citizen","Born Abroad",0.0106466876971609
"Labette","Citizen","Born Abroad",0.00570125427594071
"Lane","Citizen","Born Abroad",0.0017921146953405
"Leavenworth","Citizen","Born Abroad",0.0182417835274266
"Lincoln","Citizen","Born Abroad",0.00190234622701332
"Linn","Citizen","Born Abroad",0.00346347607052897
"Logan","Citizen","Born Abroad",0
"Lyon","Citizen","Born Abroad",0.00248042555734863
"Marion","Citizen","Born Abroad",0.00545158665581774
