race,party,candidate,votes,proportion,election,year
Kansas House of Representatives 112,D,Steve Muehleisen,1480,0.245,General,2014
Kansas House of Representatives 112,D,Steve Muehleisen,358,1,Primary,2014
Kansas House of Representatives 015,D,Steve Wright,2076,0.386,General,2014
Kansas House of Representatives 015,D,Steve Wright,373,1,Primary,2014
Kansas House of Representatives 098,R,Steve Anthimides,2292,0.514,General,2014
Kansas House of Representatives 098,R,Steve Anthimides,897,1,Primary,2014
Kansas House of Representatives 085,R,Steven Brunk,5631,0.659,General,2014
Kansas House of Representatives 085,R,Steven Brunk,2408,1,Primary,2014
Kansas House of Representatives 098,D,Steven G. Crum,2163,0.485,General,2014
Kansas House of Representatives 098,D,Steven G. Crum,279,0.692,Primary,2014
Kansas House of Representatives 108,R,Steven Johnson,7000,1,General,2014
Kansas House of Representatives 108,R,Steven Johnson,2686,1,Primary,2014
Kansas House of Representatives 104,R,Steven R. Becker,7867,1,General,2014
Kansas House of Representatives 104,R,Steven R. Becker,2603,1,Primary,2014
Kansas House of Representatives 033,R,Sue Adams,2560,0.486,General,2014
Kansas House of Representatives 033,R,Sue Adams,752,1,Primary,2014
Kansas House of Representatives 111,R,Sue Ellen Boldra,4472,0.573,General,2014
Kansas House of Representatives 111,R,Sue Ellen Boldra,1551,1,Primary,2014
Kansas House of Representatives 107,R,Susan L. Concannon,7354,1,General,2014
Kansas House of Representatives 107,R,Susan L. Concannon,3024,1,Primary,2014
Kansas House of Representatives 064,R,Susie Swanson,4148,1,General,2014
Kansas House of Representatives 064,R,Susie Swanson,1097,0.457,Primary,2014
Kansas House of Representatives 066,D,Sydney Carlin,4013,1,General,2014
Kansas House of Representatives 066,D,Sydney Carlin,442,1,Primary,2014
Kansas House of Representatives 053,R,T.J. Foy,3383,0.393,General,2014
Kansas House of Representatives 053,R,T.J. Foy,1971,1,Primary,2014
Kansas House of Representatives 076,D,Teresa Briggs,2279,0.31,General,2014
Kansas House of Representatives 076,D,Teresa Briggs,461,1,Primary,2014
Kansas House of Representatives 027,D,Theresa Hohl,2684,0.304,General,2014
Kansas House of Representatives 027,D,Theresa Hohl,302,1,Primary,2014
United States House of Representatives 001,R,Tim Huelskamp,138764,0.679,General,2014
United States House of Representatives 001,R,Tim Huelskamp,42847,0.549,Primary,2014
United States House of Representatives 004,R,Todd Tiahrt,25977,0.373,Primary,2014
Kansas House of Representatives 071,R,Tom Bell,1565,0.46,Primary,2014
Kansas House of Representatives 065,D,Tom Brungardt,1085,0.394,General,2014
Kansas House of Representatives 065,D,Tom Brungardt,254,1,Primary,2014
Kansas House of Representatives 033,D,Tom Burroughs,2705,0.513,General,2014
Kansas House of Representatives 033,D,Tom Burroughs,908,1,Primary,2014
Kansas House of Representatives 068,R,Tom Moxley,5119,1,General,2014
Kansas House of Representatives 068,R,Tom Moxley,1995,1,Primary,2014
Kansas House of Representatives 067,R,Tom Phillips,7159,1,General,2014
Kansas House of Representatives 067,R,Tom Phillips,2279,1,Primary,2014
Kansas House of Representatives 095,D,Tom Sawyer,2494,0.58,General,2014
Kansas House of Representatives 095,D,Tom Sawyer,369,1,Primary,2014
Kansas House of Representatives 045,R,Tom Sloan,8151,1,General,2014
Kansas House of Representatives 045,R,Tom Sloan,1431,0.761,Primary,2014
Kansas House of Representatives 041,R,Tony Barton,2202,0.559,General,2014
Kansas House of Representatives 041,R,Tony Barton,809,1,Primary,2014
Kansas House of Representatives 110,R,Travis Couture-Lovelady,7698,1,General,2014
Kansas House of Representatives 110,R,Travis Couture-Lovelady,2743,1,Primary,2014
Kansas House of Representatives 109,R,Troy L. Waymaster,7753,1,General,2014
Kansas House of Representatives 109,R,Troy L. Waymaster,3293,1,Primary,2014
Kansas House of Representatives 052,D,Ty Dragoo,4128,0.403,General,2014
Kansas House of Representatives 052,D,Ty Dragoo,713,1,Primary,2014
Kansas House of Representatives 034,D,Valdenia C. Winn,2953,1,General,2014
Kansas House of Representatives 034,D,Valdenia C. Winn,1111,1,Primary,2014
Kansas House of Representatives 039,D,Vicki Hiatt,2867,0.385,General,2014
Kansas House of Representatives 039,D,Vicki Hiatt,391,1,Primary,2014
Kansas House of Representatives 012,R,Virgil Peck,4566,0.703,General,2014
Kansas House of Representatives 012,R,Virgil Peck,2354,1,Primary,2014
Kansas House of Representatives 056,D,Virgil Weigel,3938,0.497,General,2014
Kansas House of Representatives 056,D,Virgil Weigel,827,1,Primary,2014
Kansas House of Representatives 061,D,Vivien J. Olsen,2685,0.322,General,2014
Kansas House of Representatives 061,D,Vivien J. Olsen,429,1,Primary,2014
Kansas House of Representatives 073,D,Von Peterson,2429,0.311,General,2014
Kansas House of Representatives 073,D,Von Peterson,394,1,Primary,2014
Kansas House of Representatives 075,R,Will Carpenter,4417,0.69,General,2014
Kansas House of Representatives 075,R,Will Carpenter,2358,1,Primary,2014
Kansas House of Representatives 038,R,Willie Dove,4874,0.608,General,2014
Kansas House of Representatives 038,R,Willie Dove,1676,1,Primary,2014
Kansas Senate 039,D,A. Zacheriah Worf,3421,0.165,General,2016
Kansas Senate 039,D,A. Zacheriah Worf,761,1,Primary,2016
Kansas House of Representatives 002,D,Adam J. Lusker Sr.,7747,1,General,2016
Kansas House of Representatives 002,D,Adam J. Lusker Sr.,1237,1,Primary,2016
Kansas House of Representatives 120,R,Adam Smith,8842,0.851,General,2016
Kansas House of Representatives 120,R,Adam Smith,3281,0.529,Primary,2016
Kansas House of Representatives 051,D,Adrienne Olejnik,5354,0.48,General,2016
Kansas House of Representatives 051,D,Adrienne Olejnik,638,1,Primary,2016
President / Vice President,O,Ajay Sood,10,0,General,2016
United States House of Representatives 001,O,Alan LaPolice,67739,0.262,General,2016
Kansas Senate 040,D,Alex Herman,8308,0.257,General,2016
Kansas Senate 040,D,Alex Herman,1757,1,Primary,2016
Kansas House of Representatives 078,R,Allen Clayton,500,0.272,Primary,2016
Kansas House of Representatives 016,R,Amanda Grosserode,5443,0.442,General,2016
Kansas House of Representatives 016,R,Amanda Grosserode,1677,1,Primary,2016
Kansas House of Representatives 023,D,Amber Versola,4045,0.455,General,2016
Kansas House of Representatives 023,D,Amber Versola,863,1,Primary,2016
Kansas Senate 030,D,Anabel Larumbe,11786,0.414,General,2016
Kansas Senate 030,D,Anabel Larumbe,1230,0.65,Primary,2016
President / Vice President,O,Andrew D. Basiago,6,0,General,2016
Kansas House of Representatives 115,R,Andrew Evans,1357,0.426,Primary,2016
Kansas House of Representatives 039,D,Angeliina Lawson,4320,0.35,General,2016
Kansas House of Representatives 039,D,Angeliina Lawson,734,1,Primary,2016
Kansas House of Representatives 080,R,Anita Judd-Jenkins,4703,0.636,General,2016
Kansas House of Representatives 080,R,Anita Judd-Jenkins,1300,0.527,Primary,2016
Kansas House of Representatives 055,D,Annie Kuether,7095,1,General,2016
Kansas House of Representatives 055,D,Annie Kuether,1314,1,Primary,2016
Kansas Senate 019,D,Anthony Hensley,16181,0.572,General,2016
Kansas Senate 019,D,Anthony Hensley,3703,1,Primary,2016
President / Vice President,O,Anthony J. Valdivia,0,0,General,2016
Kansas House of Representatives 004,R,Arlyn Briggs,171,0.056,Primary,2016
Kansas Senate 007,R,Barbara Bollier,22439,0.543,General,2016
Kansas Senate 007,R,Barbara Bollier,6718,1,Primary,2016
Kansas House of Representatives 044,D,Barbara W. Ballard,8849,0.752,General,2016
Kansas House of Representatives 044,D,Barbara W. Ballard,1436,0.826,Primary,2016
Kansas House of Representatives 008,D,Ben Chociej,3550,0.272,General,2016
Kansas House of Representatives 008,D,Ben Chociej,475,1,Primary,2016
Kansas House of Representatives 058,D,Ben Scott,332,0.216,Primary,2016
Kansas Senate 026,D,Benjamin Poteete,8911,0.305,General,2016
Kansas Senate 026,D,Benjamin Poteete,1110,1,Primary,2016
Kansas House of Representatives 106,D,Beth Owens,231,0.312,Primary,2016
Kansas House of Representatives 104,D,Betty Taylor,1898,0.178,General,2016
Kansas House of Representatives 104,D,Betty Taylor,781,1,Primary,2016
Kansas Senate 005,D,Bill Hutton,12828,0.49,General,2016
Kansas Senate 005,D,Bill Hutton,2570,0.74,Primary,2016
Kansas House of Representatives 043,R,Bill Sutton,8403,1,General,2016
Kansas House of Representatives 043,R,Bill Sutton,1032,0.576,Primary,2016
Kansas House of Representatives 059,R,Blaine Finch,8327,1,General,2016
Kansas House of Representatives 059,R,Blaine Finch,1532,1,Primary,2016
Kansas House of Representatives 081,R,Blake Carpenter,4488,0.665,General,2016
Kansas House of Representatives 081,R,Blake Carpenter,940,1,Primary,2016
Kansas House of Representatives 015,R,Bo Dostal,160,0.107,Primary,2016
Kansas House of Representatives 120,D,Bonita L. Peterson,1547,0.148,General,2016
Kansas House of Representatives 120,D,Bonita L. Peterson,473,1,Primary,2016
Kansas House of Representatives 115,R,Boyd Orr,6158,1,General,2016
Kansas House of Representatives 115,R,Boyd Orr,1827,0.573,Primary,2016
Kansas House of Representatives 012,R,Brad Hall,1192,0.393,Primary,2016
Kansas House of Representatives 119,R,Bradley Ralph,2375,0.514,General,2016
Kansas House of Representatives 119,R,Bradley Ralph,1477,1,Primary,2016
Kansas House of Representatives 096,D,Brandon Whipple,4346,1,General,2016
Kansas House of Representatives 096,D,Brandon Whipple,434,1,Primary,2016
Kansas House of Representatives 105,R,Brenda Landwehr,4431,0.546,General,2016
Kansas House of Representatives 105,R,Brenda Landwehr,1295,1,Primary,2016
Kansas House of Representatives 052,R,Brenda S. Dietrich,10770,1,General,2016
Kansas House of Representatives 052,R,Brenda S. Dietrich,2749,0.621,Primary,2016
Kansas House of Representatives 058,D,Brett Daniel Kell,79,0.051,Primary,2016
Kansas House of Representatives 017,R,Brett M. Hildabrand,1202,0.384,Primary,2016
Kansas House of Representatives 029,D,Brett Parker,6249,0.526,General,2016
Kansas House of Representatives 029,D,Brett Parker,988,1,Primary,2016
Kansas Senate 036,D,Brian G. Angevine,4686,0.148,General,2016
Kansas Senate 036,D,Brian G. Angevine,1398,1,Primary,2016
United States House of Representatives 002,D,Britani Potter,96840,0.325,General,2016
United States House of Representatives 002,D,Britani Potter,24383,1,Primary,2016
Kansas House of Representatives 035,D,Broderick Henderson,5601,1,General,2016
Kansas House of Representatives 035,D,Broderick Henderson,1259,0.615,Primary,2016
Kansas Senate 014,R,Bruce Givens,20452,0.726,General,2016
Kansas Senate 014,R,Bruce Givens,6513,0.524,Primary,2016
Kansas Senate 038,R,Bud Estes,12884,0.757,General,2016
Kansas Senate 038,R,Bud Estes,4488,0.647,Primary,2016
Kansas Senate 026,R,Byron C. Dunlavy,1446,0.269,Primary,2016
Kansas House of Representatives 105,D,Cammie Funston,3677,0.453,General,2016
Kansas House of Representatives 105,D,Cammie Funston,517,1,Primary,2016
Kansas Senate 020,D,Candace Ayars,11775,0.346,General,2016
Kansas Senate 020,D,Candace Ayars,1755,0.468,Primary,2016
Kansas Senate 014,D,Carl M. Shay Jr.,980,0.454,Primary,2016
Kansas Senate 031,R,Carolyn McGinn,23463,0.745,General,2016
Kansas Senate 031,R,Carolyn McGinn,4776,0.513,Primary,2016
Kansas Senate 012,R,Caryn Tyson,18998,0.733,General,2016
Kansas Senate 012,R,Caryn Tyson,5748,1,Primary,2016
Kansas House of Representatives 003,R,Charles (Chuck) Smith,3939,0.475,General,2016
Kansas House of Representatives 003,R,Charles (Chuck) Smith,597,1,Primary,2016
Kansas House of Representatives 039,R,Charles Macheers,765,0.342,Primary,2016
Kansas House of Representatives 026,D,Cheron Tiffany,3933,0.327,General,2016
Kansas House of Representatives 026,D,Cheron Tiffany,558,1,Primary,2016
Kansas House of Representatives 050,D,Chris Huntsman,3620,0.315,General,2016
Kansas House of Representatives 050,D,Chris Huntsman,705,0.57,Primary,2016
Kansas Senate 009,D,Chris Morrow,13708,0.399,General,2016
Kansas Senate 009,D,Chris Morrow,2148,1,Primary,2016
Kansas Senate 012,D,Christopher B. Johnston,6918,0.266,General,2016
Kansas Senate 012,D,Christopher B. Johnston,1384,1,Primary,2016
Kansas House of Representatives 086,R,Christopher Drake,1894,0.332,General,2016
Kansas House of Representatives 086,R,Christopher Drake,538,1,Primary,2016
Kansas House of Representatives 020,D,Christopher McQueeny,4944,0.35,General,2016
Kansas House of Representatives 020,D,Christopher McQueeny,989,1,Primary,2016
Kansas House of Representatives 006,D,Christy C. Levings,4490,0.412,General,2016
Kansas House of Representatives 006,D,Christy C. Levings,499,1,Primary,2016
Kansas Senate 015,D,Chuck Schmidt,9963,0.391,General,2016
Kansas Senate 015,D,Chuck Schmidt,1553,1,Primary,2016
Kansas House of Representatives 085,R,Chuck Weber,7057,0.614,General,2016
Kansas House of Representatives 085,R,Chuck Weber,1893,1,Primary,2016
Kansas House of Representatives 016,D,Cindy Holscher,6847,0.557,General,2016
Kansas House of Representatives 016,D,Cindy Holscher,1037,1,Primary,2016
Kansas House of Representatives 018,D,Cindy Neighbor,6230,0.523,General,2016
Kansas House of Representatives 018,D,Cindy Neighbor,1081,1,Primary,2016
Kansas Senate 020,D,Clarence A. Hinchy,230,0.061,Primary,2016
Kansas House of Representatives 106,R,Clay Aurand,5821,0.561,General,2016
Kansas House of Representatives 106,R,Clay Aurand,3667,1,Primary,2016
Kansas House of Representatives 101,D,Clifton Beck,2851,0.259,General,2016
Kansas House of Representatives 101,D,Clifton Beck,467,1,Primary,2016
Kansas House of Representatives 042,R,Connie O'Brien,796,0.481,Primary,2016
Kansas House of Representatives 008,R,Craig McPherson,1116,0.419,Primary,2016
Kansas House of Representatives 061,R,Dan Brenner,1598,0.398,Primary,2016
Kansas Senate 015,R,Dan Goddard,15511,0.608,General,2016
Kansas Senate 015,R,Dan Goddard,3549,0.512,Primary,2016
Kansas Senate 026,R,Dan Kerschen,20274,0.694,General,2016
Kansas Senate 026,R,Dan Kerschen,3913,0.73,Primary,2016
Kansas House of Representatives 082,D,Danette Harris,3763,0.383,General,2016
Kansas House of Representatives 082,D,Danette Harris,399,1,Primary,2016
United States House of Representatives 004,D,Daniel B. Giroux,81495,0.296,General,2016
United States House of Representatives 004,D,Daniel B. Giroux,9489,0.515,Primary,2016
Kansas House of Representatives 100,R,Daniel Hawkins,7211,0.646,General,2016
Kansas House of Representatives 100,R,Daniel Hawkins,1782,0.712,Primary,2016
Kansas House of Representatives 119,D,Daniel L. Love,2242,0.485,General,2016
Kansas House of Representatives 119,D,Daniel L. Love,304,1,Primary,2016
Kansas House of Representatives 030,D,Darla Graham,5232,0.476,General,2016
Kansas House of Representatives 030,D,Darla Graham,876,1,Primary,2016
Kansas House of Representatives 049,D,Darnell Hunt,3841,0.416,General,2016
Kansas House of Representatives 049,D,Darnell Hunt,492,1,Primary,2016
President / Vice President,O,Darrell L. Castle,646,0,General,2016
President / Vice President,O,Darryl Perry,1,0,General,2016
Kansas House of Representatives 068,R,Dave Baker,5652,0.708,General,2016
Kansas House of Representatives 068,R,Dave Baker,1814,0.626,Primary,2016
Kansas Senate 018,R,Dave Jackson,14076,0.483,General,2016
Kansas Senate 018,R,Dave Jackson,6035,1,Primary,2016
Kansas Senate 004,D,David Haley,17090,1,General,2016
Kansas Senate 004,D,David Haley,5750,1,Primary,2016
Kansas House of Representatives 093,D,Deb Shepard,3585,0.375,General,2016
Kansas House of Representatives 093,D,Deb Shepard,427,1,Primary,2016
Kansas House of Representatives 040,D,Debbie Deere,4421,0.522,General,2016
Kansas House of Representatives 040,D,Debbie Deere,617,1,Primary,2016
President / Vice President,O,Demetra Jefferson Wysinger,0,0,General,2016
Kansas House of Representatives 046,D,"Dennis ""Boog"" Highberger",9298,1,General,2016
Kansas House of Representatives 046,D,"Dennis ""Boog"" Highberger",1599,1,Primary,2016
Kansas Senate 001,R,Dennis D. Pyle,18283,0.583,General,2016
Kansas Senate 001,R,Dennis D. Pyle,7408,1,Primary,2016
Kansas Senate 020,D,Dennis L. Rogers,1005,0.268,Primary,2016
Kansas House of Representatives 071,R,Diana Dierks,6627,0.689,General,2016
Kansas House of Representatives 071,R,Diana Dierks,3090,1,Primary,2016
Kansas Senate 021,R,Dinah H. Sykes,18149,0.503,General,2016
Kansas Senate 021,R,Dinah H. Sykes,4442,0.579,Primary,2016
United States Senate,O,D.J. Smith,46,0,General,2016
United States Senate,R,D.J. Smith,61056,0.209,Primary,2016
Kansas House of Representatives 118,R,Don Hineman,9535,1,General,2016
Kansas House of Representatives 118,R,Don Hineman,4884,1,Primary,2016
Kansas Senate 008,D,Don McGuire,17758,0.472,General,2016
Kansas Senate 008,D,Don McGuire,2714,1,Primary,2016
Kansas House of Representatives 074,R,Don Schroeder,8825,1,General,2016
Kansas House of Representatives 074,R,Don Schroeder,3217,1,Primary,2016
Kansas Senate 032,D,Don Shimkus,9844,0.377,General,2016
Kansas Senate 032,D,Don Shimkus,1781,1,Primary,2016
Kansas Senate 005,D,Donald G. Terrien,899,0.259,Primary,2016
President / Vice President,R,Donald J. Trump,671018,0.566,General,2016
Kansas Senate 024,D,Donald R. Merriman,11228,0.409,General,2016
Kansas Senate 024,D,Donald R. Merriman,1656,1,Primary,2016
Kansas House of Representatives 043,R,Donald Roberts,759,0.423,Primary,2016
Kansas House of Representatives 021,R,Dorothy Hughes,6141,0.453,General,2016
Kansas House of Representatives 021,R,Dorothy Hughes,1660,0.607,Primary,2016
Kansas House of Representatives 012,R,Doug Blex,6182,0.699,General,2016
Kansas House of Representatives 012,R,Doug Blex,1841,0.606,Primary,2016
Kansas House of Representatives 005,D,Doug Walker,3748,0.408,General,2016
Kansas House of Representatives 005,D,Doug Walker,532,1,Primary,2016
Kansas House of Representatives 111,D,Eber Phelps,5308,0.535,General,2016
Kansas House of Representatives 111,D,Eber Phelps,766,1,Primary,2016
Kansas Senate 003,R,Echo Van Meteren,16189,0.484,General,2016
Kansas Senate 003,R,Echo Van Meteren,3724,1,Primary,2016
Kansas House of Representatives 079,D,Ed Trimmer,6909,1,General,2016
Kansas House of Representatives 079,D,Ed Trimmer,649,1,Primary,2016
Kansas Senate 034,R,Edward E. Berger,21559,0.822,General,2016
Kansas Senate 034,R,Edward E. Berger,6279,0.571,Primary,2016
Kansas Senate 036,R,Elaine S. Bowers,26816,0.851,General,2016
Kansas Senate 036,R,Elaine S. Bowers,13578,1,Primary,2016
Kansas House of Representatives 019,D,Elizabeth A. Meitl,4639,0.336,General,2016
Kansas House of Representatives 019,D,Elizabeth A. Meitl,1139,1,Primary,2016
Kansas House of Representatives 088,D,Elizabeth Bishop,3938,0.561,General,2016
Kansas House of Representatives 088,D,Elizabeth Bishop,445,1,Primary,2016
Kansas House of Representatives 018,R,Eric A. Jenkins,5668,0.476,General,2016
Kansas House of Representatives 018,R,Eric A. Jenkins,1821,1,Primary,2016
Kansas House of Representatives 076,R,Eric L. Smith,5955,0.636,General,2016
Kansas House of Representatives 076,R,Eric L. Smith,2741,1,Primary,2016
Kansas House of Representatives 015,R,Erin L. Davis,5014,0.584,General,2016
Kansas House of Representatives 015,R,Erin L. Davis,930,0.626,Primary,2016
President / Vice President,O,Evan McMullin,6520,0.005,General,2016
Kansas Senate 014,R,Forrest J. Knox,5900,0.475,Primary,2016
Kansas House of Representatives 061,R,Francis Awerkamp,6221,0.614,General,2016
Kansas House of Representatives 061,R,Francis Awerkamp,2413,0.601,Primary,2016
Kansas House of Representatives 050,R,Fred C. Patton,7869,0.684,General,2016
Kansas House of Representatives 050,R,Fred C. Patton,2460,1,Primary,2016
Kansas House of Representatives 038,L,Frederick Caleb Cristopher,813,0.067,General,2016
Kansas Senate 016,D,Gabriel Costilla,11467,0.353,General,2016
Kansas Senate 016,D,Gabriel Costilla,1280,1,Primary,2016
Kansas House of Representatives 084,D,Gail Finney,5282,1,General,2016
Kansas House of Representatives 084,D,Gail Finney,753,1,Primary,2016
President / Vice President,L,Gary Johnson,55406,0.046,General,2016
Kansas Senate 027,R,Gene Suellentrop,22252,0.665,General,2016
Kansas Senate 027,R,Gene Suellentrop,4085,0.506,Primary,2016
Kansas House of Representatives 069,D,Gerrett Morris,3575,0.481,General,2016
Kansas House of Representatives 069,D,Gerrett Morris,420,1,Primary,2016
Kansas House of Representatives 100,D,Glen Shafer,3936,0.353,General,2016
Kansas House of Representatives 100,D,Glen Shafer,529,1,Primary,2016
President / Vice President,O,Gloria La Riva,7,0,General,2016
United States House of Representatives 004,L,Gorden J. Bakken,7737,0.028,General,2016
Kansas Senate 021,R,Greg A. Smith,3226,0.42,Primary,2016
United States House of Representatives 003,R,Greg Goode,21563,0.363,Primary,2016
Kansas House of Representatives 091,R,Greg Lakin,7712,1,General,2016
Kansas House of Representatives 091,R,Greg Lakin,1326,0.637,Primary,2016
Kansas House of Representatives 113,R,Greg Lewis,8233,1,General,2016
Kansas House of Representatives 113,R,Greg Lewis,3510,0.742,Primary,2016
Kansas House of Representatives 036,D,Gwendolyn S. Thomas,781,0.235,Primary,2016
Kansas House of Representatives 017,D,Helen M. Stoll,5333,0.433,General,2016
Kansas House of Representatives 017,D,Helen M. Stoll,1054,1,Primary,2016
Kansas House of Representatives 083,D,Henry Helgerson,3914,0.603,General,2016
Kansas House of Representatives 083,D,Henry Helgerson,608,1,Primary,2016
Kansas House of Representatives 114,R,Herchel A. Crainer III,1716,0.424,Primary,2016
President / Vice President,D,Hillary Rodham Clinton,427005,0.36,General,2016
Kansas Senate 034,D,Homer L. Gilson,4664,0.177,General,2016
Kansas Senate 034,D,Homer L. Gilson,1839,1,Primary,2016
Kansas Senate 031,D,J. Michelle Vann,8026,0.254,General,2016
Kansas Senate 031,D,J. Michelle Vann,1666,1,Primary,2016
Kansas House of Representatives 122,R,"J. Russell ""Russ"" Jennings",6198,1,General,2016
Kansas House of Representatives 122,R,"J. Russell ""Russ"" Jennings",2905,1,Primary,2016
Kansas House of Representatives 124,R,J. Stephen Alford,6305,1,General,2016
Kansas House of Representatives 124,R,J. Stephen Alford,3256,1,Primary,2016
Kansas House of Representatives 091,R,J.C. Moore,755,0.362,Primary,2016
President / Vice President,O,J.J. Vogel-Walcutt,0,0,General,2016
Kansas House of Representatives 069,R,J.R. Claeys,3852,0.518,General,2016
Kansas House of Representatives 069,R,J.R. Claeys,1653,1,Primary,2016
Kansas House of Representatives 114,R,Jack Thimesch,8041,1,General,2016
Kansas House of Representatives 114,R,Jack Thimesch,2323,0.575,Primary,2016
Kansas Senate 013,R,Jake LaTurner,15737,0.561,General,2016
Kansas Senate 013,R,Jake LaTurner,3592,1,Primary,2016
Kansas House of Representatives 030,R,James A. Dingwerth,812,0.402,Primary,2016
President / Vice President,O,James A. Hedges,3,0,General,2016
Kansas House of Representatives 100,R,James Breitenbach,719,0.287,Primary,2016
Kansas House of Representatives 029,R,James Eric Todd,5617,0.473,General,2016
Kansas House of Representatives 029,R,James Eric Todd,1744,1,Primary,2016
United States House of Representatives 002,L,James Houston Bales,19333,0.065,General,2016
Kansas House of Representatives 086,L,James Pruden,470,0.082,General,2016
Kansas House of Representatives 081,D,James W. McCluer,2255,0.334,General,2016
Kansas House of Representatives 081,D,James W. McCluer,255,1,Primary,2016
Kansas House of Representatives 020,R,Jan H. Kessinger,9153,0.649,General,2016
Kansas House of Representatives 020,R,Jan H. Kessinger,2277,0.547,Primary,2016
Kansas House of Representatives 102,R,Jan Pauls,2503,0.444,General,2016
Kansas House of Representatives 102,R,Jan Pauls,1313,1,Primary,2016
Kansas House of Representatives 024,D,Jarrod Ousley,6228,0.603,General,2016
Kansas House of Representatives 024,D,Jarrod Ousley,1149,1,Primary,2016
Kansas Senate 006,L,Jason Conley,5213,0.291,General,2016
Kansas House of Representatives 121,D,Jason Graff,4939,0.399,General,2016
Kansas House of Representatives 121,D,Jason Graff,720,1,Primary,2016
Kansas House of Representatives 078,D,Jason K. Darby,4372,0.389,General,2016
Kansas House of Representatives 078,D,Jason K. Darby,621,1,Primary,2016
United States House of Representatives 003,D,Jay Sidie,139300,0.405,General,2016
United States House of Representatives 003,D,Jay Sidie,13879,0.415,Primary,2016
Kansas House of Representatives 012,D,Jean Kurtis Schodorf,2661,0.3,General,2016
Kansas House of Representatives 012,D,Jean Kurtis Schodorf,478,1,Primary,2016
Kansas Senate 017,R,Jeff Longbine,13161,0.589,General,2016
Kansas Senate 017,R,Jeff Longbine,5259,1,Primary,2016
Kansas Senate 011,R,Jeff Melcher,4360,0.434,Primary,2016
Kansas House of Representatives 041,D,Jeff Pittman,3433,0.549,General,2016
Kansas House of Representatives 041,D,Jeff Pittman,502,1,Primary,2016
Kansas House of Representatives 071,D,Jeffrey A. Zamrzla,1741,0.181,General,2016
Kansas House of Representatives 071,D,Jeffrey A. Zamrzla,499,1,Primary,2016
Kansas House of Representatives 006,R,Jene Vickrey,6397,0.587,General,2016
Kansas House of Representatives 006,R,Jene Vickrey,1326,1,Primary,2016
Kansas House of Representatives 087,R,Jeremy Alessi,996,0.425,Primary,2016
Kansas House of Representatives 045,R,Jeremy Ryan Pierce,547,0.297,Primary,2016
Kansas Senate 001,D,Jerry Henry,13076,0.416,General,2016
Kansas Senate 001,D,Jerry Henry,2111,1,Primary,2016
Kansas House of Representatives 028,R,Jerry Lunn,1344,0.457,Primary,2016
United States Senate,R,Jerry Moran,732376,0.621,General,2016
United States Senate,R,Jerry Moran,230907,0.79,Primary,2016
Kansas House of Representatives 021,D,Jerry Stogsdill,7408,0.546,General,2016
Kansas House of Representatives 021,D,Jerry Stogsdill,1438,1,Primary,2016
President / Vice President,O,Jill Stein,23506,0.019,General,2016
Kansas Senate 008,R,Jim Denning,19847,0.527,General,2016
Kansas Senate 008,R,Jim Denning,5610,1,Primary,2016
Kansas House of Representatives 053,D,Jim Gartner,5993,0.574,General,2016
Kansas House of Representatives 053,D,Jim Gartner,1224,1,Primary,2016
Kansas House of Representatives 042,R,Jim Karleskint,5715,0.578,General,2016
Kansas House of Representatives 042,R,Jim Karleskint,856,0.518,Primary,2016
Kansas House of Representatives 011,R,Jim Kelly,6570,1,General,2016
Kansas House of Representatives 011,R,Jim Kelly,1629,1,Primary,2016
Kansas Senate 025,R,Jim Price,8308,0.415,General,2016
Kansas Senate 025,R,Jim Price,1907,0.681,Primary,2016
Kansas House of Representatives 086,D,Jim Ward,3336,0.585,General,2016
Kansas House of Representatives 086,D,Jim Ward,482,1,Primary,2016
Kansas Senate 028,R,Jo L. Hillman,681,0.253,Primary,2016
Kansas House of Representatives 070,D,Jo Schwartz,3207,0.333,General,2016
Kansas House of Representatives 070,D,Jo Schwartz,363,1,Primary,2016
President / Vice President,O,Joe C. Schriner,3,0,General,2016
Kansas Senate 020,R,Joe Patton,5110,0.466,Primary,2016
Kansas House of Representatives 101,R,Joe Seiwert,8121,0.74,General,2016
Kansas House of Representatives 101,R,Joe Seiwert,2630,1,Primary,2016
Kansas House of Representatives 123,R,Joel Thomas Erskin,349,0.16,Primary,2016
Kansas House of Representatives 071,L,Joey Frazier,1245,0.129,General,2016
Kansas House of Representatives 057,D,John Alcala,5191,1,General,2016
Kansas House of Representatives 057,D,John Alcala,940,1,Primary,2016
Kansas House of Representatives 040,R,John Bradford,4042,0.477,General,2016
Kansas House of Representatives 040,R,John Bradford,776,1,Primary,2016
Kansas Senate 024,R,John C. Price,1103,0.118,Primary,2016
Kansas House of Representatives 092,D,John Carmichael,5754,1,General,2016
Kansas House of Representatives 092,D,John Carmichael,823,1,Primary,2016
Kansas Senate 039,R,John Doll,17231,0.834,General,2016
Kansas Senate 039,R,John Doll,5664,0.571,Primary,2016
Kansas House of Representatives 070,R,John E. Barker,6404,0.666,General,2016
Kansas House of Representatives 070,R,John E. Barker,3081,1,Primary,2016
Kansas House of Representatives 120,R,John M. Faber,2910,0.47,Primary,2016
Kansas House of Representatives 123,R,John P. Wheeler Jr.,5577,1,General,2016
Kansas House of Representatives 123,R,John P. Wheeler Jr.,1826,0.839,Primary,2016
Kansas House of Representatives 063,R,John R. Eplee,6747,0.732,General,2016
