race,party,candidate,votes,proportion,election,year
Kansas Senate 022,R,Joe Knopp,2134,0.277,Primary,2012
Kansas Senate 020,R,Joe Patton,5587,0.492,Primary,2012
Kansas House of Representatives 101,R,Joe Seiwert,8011,1,General,2012
Kansas House of Representatives 101,R,Joe Seiwert,1579,0.531,Primary,2012
Kansas Senate 004,R,Joe Ward,4394,0.201,General,2012
Kansas Senate 004,R,Joe Ward,607,1,Primary,2012
United States House of Representatives 003,L,Joel Balam,92675,0.315,General,2012
Kansas House of Representatives 057,D,John Alcala,4626,0.712,General,2012
Kansas House of Representatives 057,D,John Alcala,993,1,Primary,2012
Kansas House of Representatives 040,R,John Bradford,4121,0.511,General,2012
Kansas House of Representatives 040,R,John Bradford,887,0.602,Primary,2012
Kansas Senate 012,R,John C. Coen,4864,0.438,Primary,2012
Kansas Senate 014,R,John C. Grange,5254,0.414,Primary,2012
Kansas House of Representatives 123,R,John Doll,4808,1,General,2012
Kansas House of Representatives 123,R,John Doll,1457,0.703,Primary,2012
Kansas House of Representatives 070,R,John E. Barker,8020,1,General,2012
Kansas House of Representatives 070,R,John E. Barker,2063,0.594,Primary,2012
Kansas Senate 040,R,John E. Miller,4078,0.355,Primary,2012
Kansas House of Representatives 112,R,John Edmonds,5579,0.73,General,2012
Kansas House of Representatives 112,R,John Edmonds,3080,1,Primary,2012
Kansas House of Representatives 063,R,John Gotts,1907,1,Primary,2012
Kansas House of Representatives 117,R,John L. Ewy,5749,0.59,General,2012
Kansas House of Representatives 117,R,John L. Ewy,2386,0.537,Primary,2012
Kansas House of Representatives 018,R,John Rubin,6057,0.537,General,2012
Kansas House of Representatives 018,R,John Rubin,1797,0.668,Primary,2012
Kansas House of Representatives 086,R,John Stevens,2056,0.357,General,2012
Kansas House of Representatives 086,R,John Stevens,770,1,Primary,2012
Kansas House of Representatives 117,R,John W. Unruh,681,0.153,Primary,2012
Kansas House of Representatives 100,D,John Wallace Willoughby,3119,0.302,General,2012
Kansas House of Representatives 100,D,John Wallace Willoughby,322,1,Primary,2012
Kansas House of Representatives 010,D,John Wilson,6047,0.605,General,2012
Kansas House of Representatives 049,L,John Wilson,742,0.082,General,2012
Kansas House of Representatives 010,D,John Wilson,798,1,Primary,2012
Kansas Senate 038,D,Johnny Dunlap II,4033,0.229,General,2012
Kansas Senate 038,D,Johnny Dunlap II,592,1,Primary,2012
Kansas House of Representatives 088,R,Joseph Scapa,3226,0.468,General,2012
Kansas House of Representatives 088,R,Joseph Scapa,826,1,Primary,2012
Kansas House of Representatives 050,R,Josh Powell,5986,0.549,General,2012
Kansas House of Representatives 050,R,Josh Powell,1641,0.578,Primary,2012
Kansas Senate 021,D,Juanita Roy,15441,0.468,General,2012
Kansas Senate 021,D,Juanita Roy,1209,1,Primary,2012
Kansas House of Representatives 086,D,Judith Loganbill,354,0.43,Primary,2012
Kansas House of Representatives 009,R,Judy Brigham,672,0.184,Primary,2012
Kansas Senate 009,R,Julia Lynn,19346,0.638,General,2012
Kansas Senate 009,R,Julia Lynn,4091,1,Primary,2012
Kansas House of Representatives 003,D,Julie Menghini,4412,0.537,General,2012
Kansas House of Representatives 003,D,Julie Menghini,881,1,Primary,2012
Kansas House of Representatives 075,R,Karen Hasting,869,0.302,Primary,2012
Kansas House of Representatives 080,R,Kasha Kelley,6104,1,General,2012
Kansas House of Representatives 080,R,Kasha Kelley,1978,1,Primary,2012
Kansas House of Representatives 091,D,Katelyn A. Delvaux,2692,0.311,General,2012
Kansas House of Representatives 091,D,Katelyn A. Delvaux,349,1,Primary,2012
Kansas House of Representatives 036,D,Kathy Wolfe Moore,7084,0.649,General,2012
Kansas House of Representatives 036,D,Kathy Wolfe Moore,1151,1,Primary,2012
Kansas Senate 007,R,Kay Wolf,20738,0.53,General,2012
Kansas Senate 007,R,Kay Wolf,5176,0.57,Primary,2012
Kansas Senate 029,D,K.C. Ohaebosim,579,0.215,Primary,2012
Kansas House of Representatives 051,R,Keen A. Umbehr,771,0.232,Primary,2012
Kansas House of Representatives 014,R,Keith Esau,6631,0.629,General,2012
Kansas House of Representatives 014,R,Keith Esau,1164,0.618,Primary,2012
Kansas Senate 028,D,Keith Humphrey,8852,0.473,General,2012
Kansas Senate 028,D,Keith Humphrey,980,1,Primary,2012
Kansas House of Representatives 049,D,Keith Mace,3097,0.346,General,2012
Kansas House of Representatives 049,D,Keith Mace,177,1,Primary,2012
Kansas Senate 005,D,Kelly Kultala,12040,0.484,General,2012
Kansas Senate 005,D,Kelly Kultala,1713,1,Primary,2012
Kansas House of Representatives 028,D,Kelly L. Jackson,4742,0.428,General,2012
Kansas House of Representatives 028,D,Kelly L. Jackson,262,1,Primary,2012
Kansas House of Representatives 023,R,Kelly R. Meigs,4390,0.509,General,2012
Kansas House of Representatives 023,R,Kelly R. Meigs,1489,1,Primary,2012
Kansas House of Representatives 054,R,Ken Corbet,5394,0.5,General,2012
Kansas House of Representatives 054,R,Ken Corbet,1406,0.509,Primary,2012
Kansas House of Representatives 104,R,Ken R. Willard,1407,0.49,Primary,2012
President / Vice President,O,Kent W. Bush,48,0,General,2012
Kansas Senate 029,R,Kenya Cox,5570,0.302,General,2012
Kansas Senate 029,R,Kenya Cox,1643,1,Primary,2012
Kansas House of Representatives 005,R,Kevin Jones,4901,0.525,General,2012
Kansas House of Representatives 005,R,Kevin Jones,2343,1,Primary,2012
Kansas House of Representatives 043,D,Kevin King,2880,0.326,General,2012
Kansas House of Representatives 043,D,Kevin King,271,1,Primary,2012
President / Vice President,O,Kevin M. Thorne,0,0,General,2012
United States House of Representatives 003,R,Kevin Yoder,201087,0.684,General,2012
United States House of Representatives 003,R,Kevin Yoder,50270,1,Primary,2012
Kansas Senate 036,R,Kyle Abbott,5216,0.357,Primary,2012
Kansas House of Representatives 116,R,Kyle D. Hoffman,5352,0.586,General,2012
Kansas House of Representatives 116,R,Kyle D. Hoffman,2559,0.674,Primary,2012
Kansas Senate 007,D,Kyle Russell,18334,0.469,General,2012
Kansas Senate 007,D,Kyle Russell,1981,1,Primary,2012
Kansas House of Representatives 030,R,Lance Kinzer,5623,0.549,General,2012
Kansas House of Representatives 030,R,Lance Kinzer,1146,0.567,Primary,2012
Kansas House of Representatives 001,R,Lance Nichols,638,0.248,Primary,2012
Kansas House of Representatives 079,R,Larry W. Alley,4169,0.496,General,2012
Kansas House of Representatives 079,R,Larry W. Alley,2257,1,Primary,2012
Kansas House of Representatives 026,R,Larry L. Campbell,8685,1,General,2012
Kansas House of Representatives 026,R,Larry L. Campbell,1101,0.673,Primary,2012
Kansas House of Representatives 017,O,Larry Meeker,4694,0.396,General,2012
Kansas House of Representatives 013,R,Larry P. Hibbard,10697,1,General,2012
Kansas House of Representatives 013,R,Larry P. Hibbard,3162,0.608,Primary,2012
Kansas Senate 039,R,Larry R. Powell,16672,1,General,2012
Kansas Senate 039,R,Larry R. Powell,5106,0.518,Primary,2012
Kansas Senate 018,D,Laura Kelly,14813,0.517,General,2012
Kansas Senate 018,D,Laura Kelly,3336,1,Primary,2012
Kansas House of Representatives 056,R,LaVern W. Abney,489,0.2,Primary,2012
Kansas House of Representatives 119,D,"Lawrence ""Larry"" Blake",1574,0.309,General,2012
